序号,课题名称,姓名,工作单位,项目类别,所在学科
1,中国共产党组织体系建设的百年历程与基本经验研究,陈艳飞,北京工业大学,青年项目,马列·科社
2,大数据时代完善坚持正确导向的舆论引导工作机制研究,常宴会,南开大学,青年项目,马列·科社
3,当代国外马克思主义视域下的数据主义批判研究,王文敬,大连理工大学,青年项目,马列·科社
4,人工智能与高校思想政治教育融合创新系统的协同构建研究,赵浚,东北大学,青年项目,马列·科社
5,中国共产党坚定政治信仰的历史考察,姜永建,辽宁师范大学,青年项目,马列·科社
6,制度现代化视域下弘扬爱国主义精神研究,孟茹玉,东北师范大学,青年项目,马列·科社
7,新时代思政课教师队伍建设研究,尚伟伟,华东师范大学,青年项目,马列·科社
8,马克思主义政治话语体系在中国的形成与发展研究,王昆,上海交通大学,青年项目,马列·科社
9,高校思政课教学释疑解惑方法论研究,李渊博,西南交通大学,青年项目,马列·科社
10,MEGA2视域中的《资本论》法文版“独立科学价值”研究,宋珊珊,北京理工大学,青年项目,马列·科社
11,历史唯物主义视域中未来共同体的生成问题及其现实进路研究,王丽丽,对外经济贸易大学,青年项目,马列·科社
12,马克思对资本主义起源的解释范式转换及其当代价值研究,兰洋,中国人民大学,青年项目,马列·科社
13,中国共产党“社会矛盾”话语的历史演进及其启示研究,张廷广,北京理工大学,青年项目,马列·科社
14,人类命运共同体视域中马克思共同体思想的文本考辨与当代价值研究,李艳平,北京林业大学,青年项目,马列·科社
15,中国特色社会主义社会治理的共同体优势研究,李戈,清华大学,青年项目,马列·科社
16,新时代中国对外话语体系建构研究,陈明琨,中国人民大学,青年项目,马列·科社
17,中华优秀传统文化时代化研究,安丽梅,中国人民大学,青年项目,马列·科社
18,马克思主义早期传播对中国哲学社会科学的影响和作用研究,裴植,北京大学,青年项目,马列·科社
19,辩证唯物主义视域下习近平生态文明思想整体性研究,周杨,中国矿业大学（北京）,青年项目,马列·科社
20,新时代党的政治规范基本问题研究,刘进伟,中国人民大学,青年项目,马列·科社
21,新时代马克思主义无神论宣传教育的理论创新与实践经验研究,张戈,中国社会科学院马克思主义研究院,青年项目,马列·科社
22,马克思主义民主观视域下的全过程民主运行机制研究,李笑宇,中共中央党校（国家行政学院）,青年项目,马列·科社
23,列宁《唯物主义和经验批判主义》的历史意义再研究,柴林丽,南京农业大学,青年项目,马列·科社
24,中国共产党关于资本问题认识的历史考察,周丽,南京信息工程大学,青年项目,马列·科社
25,美好生活视域下绿色生活方式变革研究,滕飞,南京工业大学,青年项目,马列·科社
26,新时代网络空间意识形态安全风险研究,路媛,南京师范大学,青年项目,马列·科社
27,以红色文化涵养党内政治文化路径研究,徐龙建,中共江苏省委党校,青年项目,马列·科社
28,习近平新时代中国特色社会主义思想对马克思主义国家学说的原创性贡献研究,左丹丹,中共江苏省委党校,青年项目,马列·科社
29,新时代传承中华优秀传统家文化研究,牛绍娜,南京师范大学,青年项目,马列·科社
30,《资本论》及其手稿中的社会哲学思想研究,付文军,浙江大学,青年项目,马列·科社
31,人类命运共同体的文明认同问题研究,赵坤,浙江大学,青年项目,马列·科社
32,马克思道德观对新时代公民道德建设的启示研究,顾青青,杭州师范大学,青年项目,马列·科社
33,大中小学国家安全教育实践评估研究,金一翔,浙江大学,青年项目,马列·科社
34,习近平生态文明思想的“人民性”特质及其践行机制研究,罗贤宇,福建农林大学,青年项目,马列·科社
35,新发展阶段实现共同富裕路径研究,吴志强,中共江西省委党校,青年项目,马列·科社
36,新发展阶段“四个全面”战略布局协调推进内在逻辑研究,王钰鑫,江西师范大学,青年项目,马列·科社
37,基于社会认知理论的大学生国家网络安全意识教育及对策研究,罗青,南昌大学,青年项目,马列·科社
38,人民美好生活视域下乡村振兴战略高质量发展机制研究,朱天义,江西师范大学,青年项目,马列·科社
39,马克思恩格斯关于中国问题的基本观点研究,司书岩,山东理工大学,青年项目,马列·科社
40,澳新地区左翼运动发展态势研究,赵婷,山东大学,青年项目,马列·科社
41,新时代国家仪式的主流价值表达研究,司忠华,河南师范大学,青年项目,马列·科社
42,新时代党建引领农村集体经济发展研究,管珊,湖北经济学院,青年项目,马列·科社
43,我国应对西方对华知识产权贸易摩擦研究,乔咏波,武汉大学,青年项目,马列·科社
44,习近平总书记关于应对外部环境风险的重要论述研究,粟  锋,湖南理工学院,青年项目,马列·科社
45,中国共产党治理形式主义官僚主义的基本经验研究,洪志雄,中共广东省委党校,青年项目,马列·科社
46,特区记忆与中国特色社会主义价值认同研究,曾楠,南方医科大学,青年项目,马列·科社
47,马克思主义文化思想谱系结构及其嬗变研究,孟睿,广西师范大学,青年项目,马列·科社
48,高校思政课问题式教学研究,刘萍萍,广西财经学院,青年项目,马列·科社
49,以数字赋能推进稳定脱贫长效机制构建研究,周宇晗,电子科技大学,青年项目,马列·科社
50,人类命运共同体视域下跨文明交往研究,任思奇,中共四川省委党校,青年项目,马列·科社
51,制度自信融入边疆民族地区高校思想政治理论课机制研究,龙丽波,云南师范大学,青年项目,马列·科社
52,新时代社会治理理论与实践创新研究,张振,西安交通大学,青年项目,马列·科社
53,《资本论》视域下数字资本主义批判研究,余伟如,宁夏大学,青年项目,马列·科社
54,新疆各民族中华民族共同体认同研究,乔秀丽,新疆农业大学,青年项目,马列·科社
